"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","On foot","Number","428455"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Bicycle","Number","95066"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Bus, minibus or coach","Number","321648"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Train, DART or LUAS","Number","85060"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Motorcycle or scooter","Number","9150"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Motor car: Driver","Number","1254419"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Motor car: Passenger","Number","571694"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Van","Number","148427"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Other, incl. lorry","Number","13797"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","Not stated","Number","259245"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","All departure times","All means of travel","Number","3186961"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","On foot","Number","13887"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Bicycle","Number","6026"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Bus, minibus or coach","Number","16715"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Train, DART or LUAS","Number","6431"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Motorcycle or scooter","Number","1097"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Motor car: Driver","Number","128804"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Motor car: Passenger","Number","12896"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Van","Number","22916"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Other, incl. lorry","Number","2902"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","Not stated","Number","765"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Before 06:30","All means of travel","Number","212439"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","On foot","Number","18697"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Bicycle","Number","7587"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Bus, minibus or coach","Number","32069"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Train, DART or LUAS","Number","14066"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Motorcycle or scooter","Number","1355"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Motor car: Driver","Number","181276"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Motor car: Passenger","Number","17407"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Van","Number","36667"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Other, incl. lorry","Number","2720"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","Not stated","Number","1017"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","06:30 - 07:00","All means of travel","Number","312861"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","On foot","Number","17581"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Bicycle","Number","7190"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Bus, minibus or coach","Number","41820"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Train, DART or LUAS","Number","14342"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Motorcycle or scooter","Number","1079"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Motor car: Driver","Number","165624"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Motor car: Passenger","Number","23726"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Van","Number","25646"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Other, incl. lorry","Number","1659"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","Not stated","Number","841"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:01 - 07:30","All means of travel","Number","299508"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","On foot","Number","50874"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Bicycle","Number","17302"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Bus, minibus or coach","Number","100532"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Train, DART or LUAS","Number","23087"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Motorcycle or scooter","Number","1531"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Motor car: Driver","Number","250715"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Motor car: Passenger","Number","88918"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Van","Number","27319"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Other, incl. lorry","Number","2156"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","Not stated","Number","2461"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","07:31 - 08:00","All means of travel","Number","564895"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","On foot","Number","142318"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Bicycle","Number","29022"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Bus, minibus or coach","Number","58347"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Train, DART or LUAS","Number","12190"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Motorcycle or scooter","Number","1413"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Motor car: Driver","Number","233452"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Motor car: Passenger","Number","218608"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Van","Number","15713"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Other, incl. lorry","Number","1195"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","Not stated","Number","4564"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:01 - 08:30","All means of travel","Number","716822"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","On foot","Number","114937"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Bicycle","Number","14433"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Bus, minibus or coach","Number","36763"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Train, DART or LUAS","Number","5805"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Motorcycle or scooter","Number","883"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Motor car: Driver","Number","131699"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Motor car: Passenger","Number","160678"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Van","Number","9769"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Other, incl. lorry","Number","807"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","Not stated","Number","3929"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","08:31 - 09:00","All means of travel","Number","479703"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","On foot","Number","17011"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Bicycle","Number","2816"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Bus, minibus or coach","Number","6594"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Train, DART or LUAS","Number","1550"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Motorcycle or scooter","Number","256"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Motor car: Driver","Number","32455"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Motor car: Passenger","Number","25880"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Van","Number","2328"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Other, incl. lorry","Number","214"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","Not stated","Number","572"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","09:01 - 09:30","All means of travel","Number","89676"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","On foot","Number","37607"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Bicycle","Number","7902"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Bus, minibus or coach","Number","20124"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Train, DART or LUAS","Number","5335"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Motorcycle or scooter","Number","1217"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Motor car: Driver","Number","92893"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Motor car: Passenger","Number","14197"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Van","Number","3887"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Other, incl. lorry","Number","553"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","Not stated","Number","800"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","After 09:30","All means of travel","Number","184515"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","On foot","Number","15543"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Bicycle","Number","2788"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Bus, minibus or coach","Number","8684"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Train, DART or LUAS","Number","2254"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Motorcycle or scooter","Number","319"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Motor car: Driver","Number","37501"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Motor car: Passenger","Number","9384"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Van","Number","4182"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Other, incl. lorry","Number","1591"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","Not stated","Number","244296"
"Population Usually Resident and Present in the State","2022","Both sexes","All persons","Not stated","All means of travel","Number","326542"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","On foot","Number","178111"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Bicycle","Number","60671"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Bus, minibus or coach","Number","119095"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Train, DART or LUAS","Number","60885"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Motorcycle or scooter","Number","8481"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Motor car: Driver","Number","1199481"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Motor car: Passenger","Number","84666"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Van","Number","146265"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Other, incl. lorry","Number","12744"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","Not stated","Number","163872"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","All departure times","All means of travel","Number","2034271"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","On foot","Number","12862"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Bicycle","Number","5794"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Bus, minibus or coach","Number","14283"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Train, DART or LUAS","Number","5719"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Motorcycle or scooter","Number","1078"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Motor car: Driver","Number","127523"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Motor car: Passenger","Number","11114"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Van","Number","22863"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Other, incl. lorry","Number","2884"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","Not stated","Number","684"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","Before 06:30","All means of travel","Number","204804"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","On foot","Number","17501"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Bicycle","Number","7264"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Bus, minibus or coach","Number","23550"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Train, DART or LUAS","Number","11632"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Motorcycle or scooter","Number","1322"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Motor car: Driver","Number","176975"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Motor car: Passenger","Number","13666"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Van","Number","36539"
"Population Usually Resident and Present in the State","2022","Both sexes","Population aged 15 years and over at work","06:30 - 07:00","Other, incl. lorry","Number","2702"
