"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Total Persons","2022","Both sexes","On foot","All persons","Number","428455"
"Total Persons","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","178111"
"Total Persons","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","133314"
"Total Persons","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","77793"
"Total Persons","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","39237"
"Total Persons","2022","Both sexes","Bicycle","All persons","Number","95066"
"Total Persons","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","60671"
"Total Persons","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","13752"
"Total Persons","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","13055"
"Total Persons","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","7588"
"Total Persons","2022","Both sexes","Bus, minibus or coach","All persons","Number","321648"
"Total Persons","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","119095"
"Total Persons","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","51597"
"Total Persons","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","101393"
"Total Persons","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","49563"
"Total Persons","2022","Both sexes","Train, DART or LUAS","All persons","Number","85060"
"Total Persons","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","60885"
"Total Persons","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","964"
"Total Persons","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","7251"
"Total Persons","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","15960"
"Total Persons","2022","Both sexes","Motorcycle or scooter","All persons","Number","9150"
"Total Persons","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","8481"
"Total Persons","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","182"
"Total Persons","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","487"
"Total Persons","2022","Both sexes","Motor car: Driver","All persons","Number","1254419"
"Total Persons","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","1199481"
"Total Persons","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","6660"
"Total Persons","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","48278"
"Total Persons","2022","Both sexes","Motor car: Passenger","All persons","Number","571694"
"Total Persons","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","84666"
"Total Persons","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","310948"
"Total Persons","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","158579"
"Total Persons","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","17501"
"Total Persons","2022","Both sexes","Van","All persons","Number","148427"
"Total Persons","2022","Both sexes","Van","Population aged 15 years and over at work","Number","146265"
"Total Persons","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","1082"
"Total Persons","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","613"
"Total Persons","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","467"
"Total Persons","2022","Both sexes","Other, incl. lorry","All persons","Number","13797"
"Total Persons","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","12744"
"Total Persons","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","434"
"Total Persons","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","372"
